Cód. Grundfos;Cód. Prov.;Modelo;Descripción;Proveedor;Frecuencia;TP;Moneda TP;GRP;Moneda GRP;PL;Moneda PL;Familia;Tipo de Producto;Línea;;
;88001239;SMART PRESS 1.5 HP;ON/OFF 1 x 230 V 1 x 230 V 10 A rms;WACS SYSTEM S.R.L.;;27,45;€;34,31;€;;;;Accesorio ;;;
;8801313;SMART PRESS 1.5 HP WG;ON/OFF 1 x 230 V 1 x 230 V 10 A rms;WACS SYSTEM S.R.L.;;30,15;€;37,69;€;;;;Accesorio ;;;
;88001244;SMART PRESS 3 HP;ON/OFF 1 x 230 V 1 x 230 V 20 A rms;WACS SYSTEM S.R.L.;;41,4;€;51,75;€;;;;Accesorio ;;;
;88001316;SMART PRESS 3 HP WG;ON/OFF 1 x 230 V 1 x 230 V 20 A rms;WACS SYSTEM S.R.L.;;44,1;€;55,13;€;;;;Accesorio ;;;
;88001016;PWM 230 1-BASIC 4.3;0.55 1 x 230 V 1 x 230 V 4.3 A rms;WACS SYSTEM S.R.L.;;134,55;€;168,19;€;;;;Accesorio ;;;
;88001015;PWM 230 1-BASIC 8.5;1.1 1 x 230 V 1 x 230 V 8.5 A rms;WACS SYSTEM S.R.L.;;152,55;€;190,69;€;;;;Accesorio ;;;
;88001996;PWM 1-BASIC 11/DUAL VOLTAGE;1.5 1 x 230 V 1 x 230 V 11 A rms;WACS SYSTEM S.R.L.;;230,85;€;288,56;€;;;;Accesorio ;;;
;88001997;PWM 1-BASIC 14/DUAL VOLTAGE;1.8 1 x 230 V 1 x 230 V 14 A rms;WACS SYSTEM S.R.L.;;263,25;€;329,06;€;;;;Accesorio ;;;
;88001032;PWM 230 3-BASIC 4.7;1 kW 1 x 230 V 3 x 230 V 4.7 A rms;WACS SYSTEM S.R.L.;;217,8;€;272,25;€;;;;Accesorio ;;;
;88001757;PWM 230 D/4.7;1 kW 1 x 230 V 3 x 230 V 4.7 A rms;WACS SYSTEM S.R.L.;;249,75;€;312,19;€;;;;Accesorio ;;;
;88001039;PWM 230 D/10.5;2.2 kW 1 x 230 V 3 x 230 V 10.5 A rms;WACS SYSTEM S.R.L.;;324;€;405,00;€;;;;Accesorio ;;;
;88001055;PWM 400 D/7.5;3 kW 3 x 400 V 3 x 400 V 7.5 A rms;WACS SYSTEM S.R.L.;;540,45;€;675,56;€;;;;Accesorio ;;;
;88001052;PWM 400 D/13.3;5.5 kW 3 x 400 V 3 x 400 V 13.3 A rms;WACS SYSTEM S.R.L.;;675,45;€;844,31;€;;;;Accesorio ;;;
;88001993;PWM 410;7.5 kW 3 x 400 V 3 x 400 V 16 A rms;WACS SYSTEM S.R.L.;;832,5;€;1040,63;€;;;;Accesorio ;;;
;88001994;PWM 415;11 kW 3 x 400 V 3 x 400 V 24 A rms;WACS SYSTEM S.R.L.;;1035;€;1293,75;€;;;;Accesorio ;;;
;88001995;PWM 420;15 kW 3 x 400 V 3 x 400 V 32 A rms;WACS SYSTEM S.R.L.;;1237,5;€;1546,88;€;;;;Accesorio ;;;
;1DIG11M;DIG 11 MS;1,1 KW 1 X 230 V;DAB PUMPS S.P.A.;;641,25;€;801,56;€;;;;Accesorio ;;;
;1DIG11MA;DIG 11 MA;1,1 KW 1 X 230 V;DAB PUMPS S.P.A.;;669,6;€;837,00;€;;;;Accesorio ;;;
;1DIG11TR;DIG 11 T;1,1 KW 3 X 400 V;DAB PUMPS S.P.A.;;638,55;€;798,19;€;;;;Accesorio ;;;
;1DIG12M;DIG 15 MS;1,5 KW 1 X 230 V;DAB PUMPS S.P.A.;;677,25;€;846,56;€;;;;Accesorio ;;;
;1DIG12TR;DIG 15 T;1,5 KW 3 X 400 V;DAB PUMPS S.P.A.;;649,8;€;812,25;€;;;;Accesorio ;;;
;1DIG13TR;DIG 18 T;1,8 KW 3 X 400 V;DAB PUMPS S.P.A.;;655,2;€;819,00;€;;;;Accesorio ;;;
;1DIG14TR;DIG 22 T;2,2 KW 3 X 400 V;DAB PUMPS S.P.A.;;660,6;€;825,75;€;;;;Accesorio ;;;
;1DIG37AP;DIG 37 APT;3,7 KW 3 X 400 V;DAB PUMPS S.P.A.;;1908;€;2385,00;€;;;;Accesorio ;;;
;1DIG37MP;DIG 37 MPT;3,7 KW 3 X 400 V;DAB PUMPS S.P.A.;;1926;€;2407,50;€;;;;Accesorio ;;;
;1DIG55AP;DIG 55 APT;5,5 KW 3 X 400 V;DAB PUMPS S.P.A.;;1984,5;€;2480,63;€;;;;Accesorio ;;;
;1DIG55MP;DIG 55 MPT;5,5 KW 3 X 400 V;DAB PUMPS S.P.A.;;2002,5;€;2503,13;€;;;;Accesorio ;;;
;1DIG85AP;DIG 85 APT;8,5 KW 3 X 400 V;DAB PUMPS S.P.A.;;2376;€;2970,00;€;;;;Accesorio ;;;
;1DIG85MP;DIG 85 MPT;8,5 KW 3 X 400 V;DAB PUMPS S.P.A.;;2394;€;2992,50;€;;;;Accesorio ;;;
;1DIG86AP;DIG 110 APT;11 kW 3 x 400 V ;DAB PUMPS S.P.A.;;2560,5;€;3200,63;€;;;;Accesorio ;;;
;1DIG86MP;DIG 110 MPT;11 KW 3 X 400 V;DAB PUMPS S.P.A.;;2587,5;€;3234,38;€;;;;Accesorio ;;;

