Cód. Grundfos;Cód. Prov.;Modelo;Descripción;Proveedor;Frecuencia;TP;Moneda TP;GRP;Moneda GRP;PL;Moneda PL;Familia;Tipo de Producto;Línea
;;;;;;;;;;;;;;
10008;;"Cubrecable para motor de 4"" de 1 etapa (SP 215)";;Grundfos DK;;;;;;187,5;U$S;REPUESTOS;;
10711;;Asa inferior (KP);;Grundfos DK;;;;;;1,25;U$S;REPUESTOS;;
11300;;Asa inferior (KP);;Grundfos DK;;;;;;1,25;U$S;REPUESTOS;;
15705;;Eje con rotor (KP 150);;Grundfos DK;;;;;;57,5;U$S;REPUESTOS;;
15706;;Eje con rotor (KP 250);;Grundfos DK;;;;;;61,25;U$S;REPUESTOS;;
15709;;Eje con rotor (KP 350);;Grundfos DK;;;;;;127,5;U$S;REPUESTOS;;
15715;;Kit cojinete (KP);;Grundfos DK;;;;;;26,25;U$S;;;
15770;;Carcasa (KP 150, 250);;Grundfos DK;;;;;;26,25;U$S;REPUESTOS;;
15771;;Carcasa (KP 350);;Grundfos DK;;;;;;45;U$S;REPUESTOS;;
15778;;Kit impulsor (KP 150);;Grundfos DK;;;;;;58,75;U$S;REPUESTOS;;
15779;;Kit impulsor (KP 250);;Grundfos DK;;;;;;58,75;U$S;REPUESTOS;;
15787;;Kit impulsor (KP 350);;Grundfos DK;;;;;;78,75;U$S;REPUESTOS;;
;15803;Camisa (KP);;Grundfos DK;;;;;;36,25;U$S;REPUESTOS;;
;16700;Kit de cable (KP c/automático);;Grundfos DK;;;;;;102,5;U$S;REPUESTOS;;
;16702;Kit de cable (KP manual);;Grundfos DK;;;;;;91,25;U$S;REPUESTOS;;
;17821;Estator completo (KP 150);;Grundfos DK;;;;;;196,25;U$S;REPUESTOS;;
;17825;Estator completo (KP 250);;Grundfos DK;;;;;;222,5;U$S;REPUESTOS;;
;17841;Estator completo (KP 350);;Grundfos DK;;;;;;303,75;U$S;REPUESTOS;;
;55001;Impulsor (SP 5A) *;*Eje estriado;Grundfos DK;;;;;;7,5;U$S;REPUESTOS;;
;;Impulsor (SP 5A);;Grundfos DK;;;;;;7,5;U$S;REPUESTOS;;
;55004;Cámara (SP 5A) *;*Eje estriado;Grundfos DK;;;;;;13,75;U$S;REPUESTOS;;
;55005;Cámara (SP 1A, 2A, 5A);;Grundfos DK;;;;;;15;U$S;REPUESTOS;;
;55008;Kit de mantenimiento de 7-9 etapas (SP 1A, 2A, 3A, 5A) *;*Eje estriado;Grundfos DK;;;;;;112,5;U$S;REPUESTOS;;
;55009;Kit de mantenimiento de 10-15 etapas (SP 1A, 2A, 3A, 5A) *;*Eje estriado;Grundfos DK;;;;;;120;U$S;REPUESTOS;;
;55010;Kit de mantenimiento de 22-26 etapas (SP 1A, 2A, 3A, 5A) *;*Eje estriado;Grundfos DK;;;;;;152,5;U$S;REPUESTOS;;
;55011;Kit de mantenimiento de 27-33 etapas (SP 1A, 2A, 3A, 5A) *;*Eje estriado;Grundfos DK;;;;;;163,75;U$S;REPUESTOS;;
;55504;Kit de mantenimiento de 11-15 etapas (SP 3A, 5A);;Grundfos DK;;;;;;123,75;U$S;REPUESTOS;;
;65001;Impulsor (SP 11A);;Grundfos DK;;;;;;27,5;U$S;REPUESTOS;;
;75005;Cámara superior (SP 11A, 14A);;Grundfos DK;;;;;;51,25;U$S;REPUESTOS;;
;75006;Cámara (SP 11 A, 14 A);;Grundfos DK;;;;;;46,25;U$S;REPUESTOS;;
;75008;Kit de mantenimiento de 1 a 5 etapas (SP 11A, 14A);;Grundfos DK;;;;;;176,25;U$S;REPUESTOS;;
;75009;Kit de mantenimiento de 7-13 etapas (SP 11A, 14A);;Grundfos DK;;;;;;348,75;U$S;REPUESTOS;;
;75010;Kit de mantenimiento de 14-18 etapas (SP 11A, 14A);;Grundfos DK;;;;;;416,25;U$S;REPUESTOS;;
;75011;Kit de mantenimiento de 20-25 etapas (SP 11A, 14A);;Grundfos DK;;;;;;586,25;U$S;REPUESTOS;;
;75018;Impulsor (SP 14A);;Grundfos DK;;;;;;43,75;U$S;REPUESTOS;;
;76004;"Eje para motor de 4"" de 4 etapas (SP 11A)";;;;;;;;66,25;U$S;REPUESTOS;;
;76005;"Eje para motor de 4"" de 5 etapas (SP 11A, 14A)";;Grundfos DK;;;;;;68,75;U$S;REPUESTOS;;
;76007;"Eje para motor de 4"" de 7 etapas (SP 11A, 14A)";;Grundfos DK;;;;;;76,25;U$S;REPUESTOS;;
